,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
0,Brazil,Fazenda Jardim das Oliveiras,Simone Sampaio,Cereja Descascado,,Nestlé Brasil S/A,1244,Matas de Minas,Simone Sampaio,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.92,7.92,7.83,8.0,7.92,8.0,10.0,10.0,10.0,7.92,0.0,85.5,11 %,0 full defects,0,Bluish-Green,0 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Brazil,Fazenda Serra do São Bento,Dimas Mendes Bastos,Cereja Descascado,,Nestlé Brasil S/A,1244,Matas de Minas,Dimas Mendes Bastos,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.75,8.08,8.0,8.0,7.92,7.83,10.0,10.0,10.0,7.92,0.0,85.5,11 %,0 full defects,0,Bluish-Green,5 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Ethiopia,none,1,non,E0062,宸嶧國際有限公司,1800,Ethiopia Yirgacheffe,none,35,30 kg,Japan Coffee Exchange,2020,"July 14th, 2020",Blossom Valley International,Ethiopian Heirlooms,Completed,Washed / Wet,8.17,8.0,7.67,8.0,7.75,7.83,10.0,10.0,10.0,8.0,0.0,85.42,11 %,0 full defects,0,Green,2 full defects,,"July 14th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
0,Brazil,Fazenda Baú I,Versi Crivelenti Ferrero,Natural,,Nestlé Brasil S/A,1006,Mogiana,Versi Crivelenti Ferrero,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Natural / Dry,7.83,8.0,8.0,7.75,7.83,7.92,10.0,10.0,10.0,7.92,0.0,85.25,11 %,0 full defects,0,Bluish-Green,2 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Brazil,CACHOEIRA DA GRAMA FARM,43105774 - K27622 - 018/19,DRY MILL,002/4542/0851,BOURBON SPECIALTY COFFEES,1100,Grama Valley,GABRIEL CARVALHO DIAS,300,59 kg,Brazil Specialty Coffee Association,2019 / 2020,"September 22nd, 2019",BOURBON SPECIALTY COFFEES,Bourbon,Completed,Pulped natural / honey,7.92,7.83,7.83,7.92,7.92,7.83,10.0,10.0,10.0,8.0,0.0,85.25,11 %,0 full defects,0,Bluish-Green,3 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Honduras,LA GUAMA,431,BON CAFE S.A.,13-115-237,Bon cafe s.a,1450,LA PAZ,NAHUN EDGARDO FLORES GAMEZ.,250,69 kg,Instituto Hondureño del Café,2019,"May 22nd, 2020",Marco tulio fuentes lobo,Catuai,Completed,Washed / Wet,7.92,7.92,7.75,7.92,7.92,7.83,10.0,10.0,10.0,7.92,0.0,85.17,9 %,0 full defects,0,Green,1 full defects,,"May 22nd, 2021",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
0,Uganda,Kawacom Sipi Project,035 170 5001123,Kawacom Uganda Limted,,Kawacom uganda LTD,1790,Eastern Uganda,Kawacom Sipi Project,300,60 kg,Uganda Coffee Development Authority,2019,"May 29th, 2020",Kawacom Uganda LTD,SL28,Completed,Washed / Wet,7.83,8.08,7.92,7.67,7.83,7.75,10.0,10.0,10.0,8.0,0.0,85.08,10 %,0 full defects,0,Green,0 full defects,,"May 29th, 2021",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073
0,Ethiopia,Cooperative Kota,unwashed Jimma Grade 1 - Kota Cooperative,Dry Mill,010,EC SuccessFood Sàrl,1700,Jimma,Kata Muduga Union,10,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2019,"January 29th, 2020",Ennio Cantergiani,Ethiopian Heirlooms,Completed,Natural / Dry,7.58,8.17,7.75,8.25,7.75,7.5,10.0,10.0,10.0,8.0,0.0,85.0,10 %,0 full defects,1,Green,3 full defects,,"January 28th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),Bahnhofstrasse 22,Gloria Pedroza - +41417287296
0,Mexico,FINCA LOS REMEDIOS,001,URSULO GALVAN,,Centro Agroecológico del Café A. C.,1200,COATEPEC,JOSE CIENFUEGOS,2,69 kg,Centro Agroecológico del Café A.C.,2019,"September 6th, 2019",ELIZABETH FAJARDO,Gesha,Completed,Washed / Wet,8.0,7.92,7.58,8.0,7.67,7.67,10.0,10.0,10.0,8.08,0.0,84.92,11 %,0 full defects,0,Blue-Green,4 full defects,,"September 5th, 2020",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092
0,Mexico,FINCA TRINCHERAS,002,URSULO GALVAN,,Centro Agroecológico del Café A. C.,1340,HUATUSCO,JOSE CIENFUEGOS,2,69 kg,Centro Agroecológico del Café A.C.,2019,"September 6th, 2019",ELIZABETH FAJARDO,Pacamara,Completed,Washed / Wet,7.75,8.0,7.67,8.08,7.83,7.67,10.0,10.0,10.0,7.92,0.0,84.92,9 %,0 full defects,0,Blue-Green,3 full defects,,"September 5th, 2020",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092
0,Mexico,FINCA TOCOTIN,003,URSULO GALVAN,,Centro Agroecológico del Café A. C.,950,COATEPEC,SERVANDO RODRIGUEZ HUERTA,2,69 kg,Centro Agroecológico del Café A.C.,2019,"September 6th, 2019",ELIZABETH FAJARDO,Bourbon,Completed,Natural / Dry,8.08,7.83,7.67,7.92,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.92,11 %,0 full defects,0,Blue-Green,1 full defects,,"September 5th, 2020",Centro Agroecológico del Café A.C.,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092
0,Kenya,NON,1,RUCHU COFFEE FACTORY,KY1268,宸嶧國際有限公司,1700,kenya Muranga,non,260,30 kg,Japan Coffee Exchange,2019,"July 14th, 2020",Blossom Valley International,SL28,Completed,Washed / Wet,7.92,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,8.0,0.0,84.83,11 %,0 full defects,0,Green,2 full defects,,"July 14th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
0,Brazil,Chácara Vista Alegre,José Renato Rodrigues Alves,Cereja Descascado,,Nestlé Brasil S/A,1280,Chapada Diamantina,José Renato Rodrigues Alves,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.75,7.75,7.75,7.92,7.83,7.92,10.0,10.0,10.0,7.92,0.0,84.83,12 %,0 full defects,0,,0 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Brazil,Sítio Santo Antônio,Antônio Macedo Souza,Cereja Descascado,,Nestlé Brasil S/A,1180,Chapada Diamantina,Antônio Macedo Souza,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.83,7.83,7.92,7.67,7.92,7.83,10.0,10.0,10.0,7.67,0.0,84.67,11 %,0 full defects,0,Bluish-Green,0 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,"Tanzania, United Republic Of",Ruanda Amcos,SSTZ-63518/TN952,Mbozi Coffee Curing,033/100/060,Kenyacof,1700,Songwe,Ruanda Amcos,20,60 kg,Kenya Coffee Traders Association,2019,"February 20th, 2020",Daniel Magu,Bourbon,Completed,Washed / Wet,7.83,7.83,7.5,8.0,7.92,7.75,10.0,10.0,10.0,7.83,0.0,84.67,12 %,0 full defects,0,Green,5 full defects,,"February 19th, 2021",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Benson Kibicho Kamau - +254 786 821 621
0,Costa Rica,Beneficio Montañas del Diamante,10410-1,Beneficio Montañas del Diamante,5-0025-0101,"CECA,S.A.",1848,Tarrazú,Martín Gutierrez,150,35 kg,Specialty Coffee Association of Costa Rica,2020,"March 27th, 2020","CECA, S.A.",Caturra,Completed,Washed / Wet,7.75,7.75,7.67,8.0,7.92,7.75,10.0,10.0,10.0,7.75,0.0,84.58,9 %,0 full defects,3,None,3 full defects,,"March 27th, 2021",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
0,Brazil,Fazenda Pilar,Marco Antônio Cravo,Cereja Descascado,,Nestlé Brasil S/A,656,Norte Pioneiro do Paraná,Marco Antônio Cravo,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.83,7.75,7.58,7.83,7.83,7.75,10.0,10.0,10.0,7.92,0.0,84.5,11 %,0 full defects,0,Bluish-Green,2 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,"Tanzania, United Republic Of",Ruanda AMCOS,SSTZ-63517/TN951,Mbozi Curing,033/100/047,Kenyacof,1700,Songwe,Ruanda AMCOS,300,60 kg,Kenya Coffee Traders Association,2019,"February 6th, 2020",Daniel Magu,Bourbon,Completed,Washed / Wet,7.75,7.75,7.83,7.67,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.5,12 %,0 full defects,0,,5 full defects,,"February 5th, 2021",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Benson Kibicho Kamau - +254 786 821 621
0,Uganda,BCU,BCU01/20,Dry Mill,,"Kozzy Kare Assisted Living , LLC",2800,Uganda,"Bugisu Cooperative Union , Ltd.",2,1 kg,Specialty Coffee Association,2019,"March 5th, 2020",Joseph Bugyendu,SL14,Completed,Washed / Wet,7.75,7.83,7.75,7.67,7.83,7.92,10.0,10.0,10.0,7.75,0.0,84.5,12 %,0 full defects,0,Green,10 full defects,,"March 5th, 2021",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Sheila Magno - 562-999-3164
0,Honduras,Las Cuchillas,156,Mill,13-111-079,Mercon Honduras,1450,Comayagua,Fausto Nahun Maldonado,275,69 kg,Instituto Hondureño del Café,2020,"March 10th, 2020",Juan Manuel Sanchez Silvestre,Catuai,Completed,Washed / Wet,7.92,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.67,0.0,84.25,10 %,0 full defects,0,Green,1 full defects,,"March 10th, 2021",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
0,Papua New Guinea,Erandora Farms,Typica,Aionora Factory,166,Erandora Coffee,1600,Eastern Highlands,Erandora Coffee,120,7200 kg,Specialty Coffee Association,2019,"January 21st, 2020",Nimo Kama,Typica,Completed,Washed / Wet,7.67,7.92,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.08,11 %,0 full defects,0,Green,4 full defects,,"January 20th, 2021",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Sheila Magno - 562-999-3164
0,Vietnam,Apollo Estate,Apollo Washed (2) 2019,Dry Mill,,"Sunvirtue Co., Ltd.",1040,Dalat,"Yeh, Li Chuan",1,2 kg,Specialty Coffee Association,2019,"March 10th, 2020","Sunvirtue Co., Ltd.",Catimor,Completed,Washed / Wet,7.58,7.75,7.58,7.58,7.83,7.92,10.0,10.0,10.0,7.83,0.0,84.08,13 %,0 full defects,0,Bluish-Green,0 full defects,,"March 10th, 2021",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Sheila Magno - 562-999-3164
0,Burundi,GISHA,1150,BUDECA,27/01,BUGESTAL,1666,Ngozi,BUGESTAL,320,60 kg,Kenya Coffee Traders Association,2020,"August 18th, 2020",BUGESTAL SPRL,Bourbon,Completed,Washed / Wet,7.58,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,0.0,84.08,10 %,0 full defects,0,Green,1 full defects,,"August 18th, 2021",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Benson Kibicho Kamau - +254 786 821 621
0,"Tanzania, United Republic Of",Ruanda Amcos,SSTZ-65314/TN968,Mbozi Coffee Curing,033/100/063,Kenyacof,1700,Songwe,Ruanda Amcos,30,60 kg,Kenya Coffee Traders Association,2019,"March 6th, 2020",Daniel Magu,Bourbon,Completed,Washed / Wet,8.17,7.67,7.5,7.67,7.75,7.67,10.0,10.0,10.0,7.67,0.0,84.08,12 %,0 full defects,0,Green,4 full defects,,"March 6th, 2021",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Benson Kibicho Kamau - +254 786 821 621
0,Honduras,La Guama,116,BON CAFE S. A.,13-115-42,Bon cafe s.a,1450,LA PAZ,NAHUN EDGARDO FLORES GAMEZ.,275,69 kg,Instituto Hondureño del Café,2019,"January 9th, 2020",Marco tulio fuentes lobo,Catuai,Completed,Washed / Wet,7.75,7.83,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.75,0.0,84.0,10 %,0 full defects,1,Green,3 full defects,,"January 8th, 2021",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
0,Guatemala,LAS ROSAS,415000557,,11-63-1257,"RETRILLAS DEL PACIFICO, S. A.",1500,HUEHUETENANGO,ROLANDO BELARMINO VILLATORO VILLATORO,275,69 kg,Asociacion Nacional Del Café,2020,"July 7th, 2020",Byron Gonzalez,Bourbon,Completed,Natural / Dry,7.5,7.92,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.83,0.0,83.83,11 %,0 full defects,1,Green,4 full defects,,"July 7th, 2021",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
0,"Tanzania, United Republic Of",Ruanda Amcos,SSTZ-63517/TN951,Mbozi Coffee Curing,033/100/047,Kenyacof,1700,Songwe,Ruanda Amcos,300,60 kg,Kenya Coffee Traders Association,2019,"January 29th, 2020",Daniel Magu,Bourbon,Completed,Washed / Wet,8.33,7.67,7.5,7.42,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.83,13 %,0 full defects,7,Green,4 full defects,,"January 28th, 2021",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Benson Kibicho Kamau - +254 786 821 621
0,Costa Rica,Beneficio Montañas del Diamante,10373-01,Beneficio Montañas del Diamante,5-0025-0147,"CECA,S.A.",1848,Tarrazú,Martín Gutierrez,200,69 kg,Specialty Coffee Association of Costa Rica,2020,"April 17th, 2020","CECA, S.A.",Caturra,Completed,Washed / Wet,7.75,7.67,7.67,7.42,7.83,7.67,10.0,10.0,10.0,7.83,0.0,83.83,10 %,0 full defects,2,Green,5 full defects,,"April 17th, 2021",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
0,Guatemala,LA BURBUJA,415000445,,11-63-848,"RETRILLAS DEL PACIFICO, S. A.",1500,HUEHUETENANGO,MARISSA JUDITH HERRERA VILLATORO,200,69 kg,Asociacion Nacional Del Café,2020,"July 6th, 2020",Byron Gonzalez,Bourbon,Completed,Natural / Dry,7.58,7.92,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.83,0.0,83.75,11 %,0 full defects,1,Green,7 full defects,,"July 6th, 2021",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
0,Guatemala,ALTA LUZ,415000544,,11-63-1073,"RETRILLAS DEL PACIFICO, S. A.",1400,HUEHUETENANGO,MARIA DE LOS ANGELES PEREZ,100,69 kg,Asociacion Nacional Del Café,2020,"July 7th, 2020",Byron Gonzalez,Bourbon,Completed,Natural / Dry,7.58,7.92,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.75,0.0,83.67,11 %,0 full defects,1,Green,6 full defects,,"July 7th, 2021",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Brayan Cifuentes -
0,Colombia,EL PRADO,3-59-0173,NEIVA,3-59-0173,carcafe ltda,442,HUILA,FRANLIN DUSSAN,100,70 kg,CQI Colombia SAS,2019,"October 30th, 2019",rodrigo amaya,Caturra,Completed,Washed / Wet,7.75,7.75,7.58,7.5,7.75,7.58,10.0,10.0,10.0,7.67,0.0,83.58,10 %,0 full defects,1,Green,5 full defects,,"October 29th, 2020",CQI Colombia SAS,Calle 120A No 3A - 47 - USAQUEN,Ana Maria Duque - 3219384156
0,Uganda,,035/011/7094,Kyagalanyi Coffee's Namanve dry mill,035/011/7094,"Volcafe Limited, Japan",1700,Rwenzori,Small Farmers in Rwenzori,290,60 kg,Japan Coffee Exchange,2019,"August 5th, 2020",Volcafe Japan,SL28,Completed,Washed / Wet,7.75,7.67,7.5,7.75,7.58,7.58,10.0,10.0,10.0,7.75,0.0,83.58,12 %,0 full defects,1,Green,4 full defects,,"August 5th, 2021",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
0,El Salvador,Tuxpal,1,Tuxpal,09-392-97,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"Tejemet, S.A. de C.V.",275,69 kg,Salvadoran Coffee Council,2019,"August 20th, 2020",Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.92,7.83,7.42,7.5,7.67,7.67,10.0,10.0,10.0,7.5,0.0,83.5,11 %,0 full defects,0,Green,1 full defects,,"August 20th, 2021",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600
0,Brazil,Sítio Forquilha do Rio,Afonso Lacerda,Cereja Descascado,,Nestlé Brasil S/A,1300,Caparaó,Afonso Lacerda,5,300 kg,Brazil Specialty Coffee Association,2019,"September 22nd, 2019",Rodolfo Carneiro Climaco,Other,Completed,Washed / Wet,7.58,7.67,7.67,7.67,7.67,7.58,10.0,10.0,10.0,7.58,0.0,83.42,11 %,0 full defects,0,Bluish-Green,2 full defects,,"September 21st, 2020",Brazil Specialty Coffee Association,"Rua Gaspar Batista Paiva, 416 – Santa Luiza Varginha/MG – Brazil",Chris Allen - 55 35 3212-4705
0,Costa Rica,,S017.167,DOSMIL,5-0015-0605,Beneficios Volcafé Costa Rica,1200,,,250,69 kg,Specialty Coffee Association of Costa Rica,2019,"September 6th, 2019",Maximiliano Gurdián Portocarrero,Caturra,Completed,Washed / Wet,7.58,7.5,7.42,7.42,7.83,7.33,10.0,10.0,10.0,8.33,0.0,83.42,12 %,0 full defects,0,Blue-Green,5 full defects,,"September 5th, 2020",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
