"","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects"
"18","Ethiopia","Cooperative Kota","Dry Mill","EC SuccessFood Sàrl",1700,"Jimma","Kata Muduga Union",10,"60 kg","NKG Quality Service (a division of Bernhard Rothfos Intercafé AG)","2019","January 29th, 2020","Ennio Cantergiani","Ethiopian Heirlooms","Natural / Dry",7.58,8.17,7.75,8.25,7.75,7.5,10,10,10,8,85,0.1,"0",1,"Green","3"
"19","Mexico","FINCA LOS REMEDIOS","URSULO GALVAN","Centro Agroecológico del Café A. C.",1200,"COATEPEC","JOSE CIENFUEGOS",2,"69 kg","Centro Agroecológico del Café A.C.","2019","September 6th, 2019","ELIZABETH FAJARDO","Gesha","Washed / Wet",8,7.92,7.58,8,7.67,7.67,10,10,10,8.08,84.92,0.11,"0",0,"Blue-Green","4"
"20","Mexico","FINCA TRINCHERAS","URSULO GALVAN","Centro Agroecológico del Café A. C.",1340,"HUATUSCO","JOSE CIENFUEGOS",2,"69 kg","Centro Agroecológico del Café A.C.","2019","September 6th, 2019","ELIZABETH FAJARDO","Pacamara","Washed / Wet",7.75,8,7.67,8.08,7.83,7.67,10,10,10,7.92,84.92,0.09,"0",0,"Blue-Green","3"
"21","Mexico","FINCA TOCOTIN","URSULO GALVAN","Centro Agroecológico del Café A. C.",950,"COATEPEC","SERVANDO RODRIGUEZ HUERTA",2,"69 kg","Centro Agroecológico del Café A.C.","2019","September 6th, 2019","ELIZABETH FAJARDO","Bourbon","Natural / Dry",8.08,7.83,7.67,7.92,7.75,7.75,10,10,10,7.92,84.92,0.11,"0",0,"Blue-Green","1"
"22","Kenya","NON","RUCHU COFFEE FACTORY","<U+5BB8><U+5DA7><U+570B><U+969B><U+6709><U+9650><U+516C><U+53F8>",1700,"kenya Muranga","non",260,"30 kg","Japan Coffee Exchange","2019","July 14th, 2020","Blossom Valley International","SL28","Washed / Wet",7.92,7.92,7.75,7.75,7.75,7.75,10,10,10,8,84.83,0.11,"0",0,"Green","2"
"23","Brazil","Chácara Vista Alegre","Cereja Descascado","Nestlé Brasil S/A",1280,"Chapada Diamantina","José Renato Rodrigues Alves",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.75,7.75,7.75,7.92,7.83,7.92,10,10,10,7.92,84.83,0.12,"0",0,NA,"0"
"24","Brazil","Sítio Santo Antônio","Cereja Descascado","Nestlé Brasil S/A",1180,"Chapada Diamantina","Antônio Macedo Souza",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.83,7.83,7.92,7.67,7.92,7.83,10,10,10,7.67,84.67,0.11,"0",0,"Bluish-Green","0"
"25","Tanzania, United Republic Of","Ruanda Amcos","Mbozi Coffee Curing","Kenyacof",1700,"Songwe","Ruanda Amcos",20,"60 kg","Kenya Coffee Traders Association","2019","February 20th, 2020","Daniel Magu","Bourbon","Washed / Wet",7.83,7.83,7.5,8,7.92,7.75,10,10,10,7.83,84.67,0.12,"0",0,"Green","5"
"26","Costa Rica","Beneficio Montañas del Diamante","Beneficio Montañas del Diamante","CECA,S.A.",1848,"Tarrazú","Martín Gutierrez",150,"35 kg","Specialty Coffee Association of Costa Rica","2020","March 27th, 2020","CECA, S.A.","Caturra","Washed / Wet",7.75,7.75,7.67,8,7.92,7.75,10,10,10,7.75,84.58,0.09,"0",3,"None","3"
"27","Brazil","Fazenda Pilar","Cereja Descascado","Nestlé Brasil S/A",656,"Norte Pioneiro do Paraná","Marco Antônio Cravo",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.83,7.75,7.58,7.83,7.83,7.75,10,10,10,7.92,84.5,0.11,"0",0,"Bluish-Green","2"
"28","Tanzania, United Republic Of","Ruanda AMCOS","Mbozi Curing","Kenyacof",1700,"Songwe","Ruanda AMCOS",300,"60 kg","Kenya Coffee Traders Association","2019","February 6th, 2020","Daniel Magu","Bourbon","Washed / Wet",7.75,7.75,7.83,7.67,7.83,7.83,10,10,10,7.83,84.5,0.12,"0",0,NA,"5"
"29","Uganda","BCU","Dry Mill","Kozzy Kare Assisted Living , LLC",2800,"Uganda","Bugisu Cooperative Union , Ltd.",2,"1 kg","Specialty Coffee Association","2019","March 5th, 2020","Joseph Bugyendu","SL14","Washed / Wet",7.75,7.83,7.75,7.67,7.83,7.92,10,10,10,7.75,84.5,0.12,"0",0,"Green","10"
"30","Honduras","Las Cuchillas","Mill","Mercon Honduras",1450,"Comayagua","Fausto Nahun Maldonado",275,"69 kg","Instituto Hondureño del Café","2020","March 10th, 2020","Juan Manuel Sanchez Silvestre","Catuai","Washed / Wet",7.92,7.75,7.58,7.83,7.75,7.75,10,10,10,7.67,84.25,0.1,"0",0,"Green","1"
"31","Papua New Guinea","Erandora Farms","Aionora Factory","Erandora Coffee",1600,"Eastern Highlands","Erandora Coffee",120,"7200 kg","Specialty Coffee Association","2019","January 21st, 2020","Nimo Kama","Typica","Washed / Wet",7.67,7.92,7.67,7.67,7.67,7.75,10,10,10,7.75,84.08,0.11,"0",0,"Green","4"
"32","Vietnam","Apollo Estate","Dry Mill","Sunvirtue Co., Ltd.",1040,"Dalat","Yeh, Li Chuan",1,"2 kg","Specialty Coffee Association","2019","March 10th, 2020","Sunvirtue Co., Ltd.","Catimor","Washed / Wet",7.58,7.75,7.58,7.58,7.83,7.92,10,10,10,7.83,84.08,0.13,"0",0,"Bluish-Green","0"
"33","Burundi","GISHA","BUDECA","BUGESTAL",1666,"Ngozi","BUGESTAL",320,"60 kg","Kenya Coffee Traders Association","2020","August 18th, 2020","BUGESTAL SPRL","Bourbon","Washed / Wet",7.58,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.08,0.1,"0",0,"Green","1"
"34","Tanzania, United Republic Of","Ruanda Amcos","Mbozi Coffee Curing","Kenyacof",1700,"Songwe","Ruanda Amcos",30,"60 kg","Kenya Coffee Traders Association","2019","March 6th, 2020","Daniel Magu","Bourbon","Washed / Wet",8.17,7.67,7.5,7.67,7.75,7.67,10,10,10,7.67,84.08,0.12,"0",0,"Green","4"
"35","Honduras","La Guama","BON CAFE S. A.","Bon cafe s.a",1450,"LA PAZ","NAHUN EDGARDO FLORES GAMEZ.",275,"69 kg","Instituto Hondureño del Café","2019","January 9th, 2020","Marco tulio fuentes lobo","Catuai","Washed / Wet",7.75,7.83,7.5,7.75,7.75,7.67,10,10,10,7.75,84,0.1,"0",1,"Green","3"
"36","Guatemala","LAS ROSAS",NA,"RETRILLAS DEL PACIFICO, S. A.",1500,"HUEHUETENANGO","ROLANDO BELARMINO VILLATORO VILLATORO",275,"69 kg","Asociacion Nacional Del Café","2020","July 7th, 2020","Byron Gonzalez","Bourbon","Natural / Dry",7.5,7.92,7.58,7.58,7.67,7.75,10,10,10,7.83,83.83,0.11,"0",1,"Green","4"
"37","Tanzania, United Republic Of","Ruanda Amcos","Mbozi Coffee Curing","Kenyacof",1700,"Songwe","Ruanda Amcos",300,"60 kg","Kenya Coffee Traders Association","2019","January 29th, 2020","Daniel Magu","Bourbon","Washed / Wet",8.33,7.67,7.5,7.42,7.58,7.67,10,10,10,7.67,83.83,0.13,"0",7,"Green","4"
"38","Costa Rica","Beneficio Montañas del Diamante","Beneficio Montañas del Diamante","CECA,S.A.",1848,"Tarrazú","Martín Gutierrez",200,"69 kg","Specialty Coffee Association of Costa Rica","2020","April 17th, 2020","CECA, S.A.","Caturra","Washed / Wet",7.75,7.67,7.67,7.42,7.83,7.67,10,10,10,7.83,83.83,0.1,"0",2,"Green","5"
"39","Guatemala","LA BURBUJA",NA,"RETRILLAS DEL PACIFICO, S. A.",1500,"HUEHUETENANGO","MARISSA JUDITH HERRERA VILLATORO",200,"69 kg","Asociacion Nacional Del Café","2020","July 6th, 2020","Byron Gonzalez","Bourbon","Natural / Dry",7.58,7.92,7.5,7.58,7.67,7.67,10,10,10,7.83,83.75,0.11,"0",1,"Green","7"
"40","Guatemala","ALTA LUZ",NA,"RETRILLAS DEL PACIFICO, S. A.",1400,"HUEHUETENANGO","MARIA DE LOS ANGELES PEREZ",100,"69 kg","Asociacion Nacional Del Café","2020","July 7th, 2020","Byron Gonzalez","Bourbon","Natural / Dry",7.58,7.92,7.58,7.58,7.67,7.58,10,10,10,7.75,83.67,0.11,"0",1,"Green","6"
"41","Colombia","EL PRADO","NEIVA","carcafe ltda",442,"HUILA","FRANLIN DUSSAN",100,"70 kg","CQI Colombia SAS","2019","October 30th, 2019","rodrigo amaya","Caturra","Washed / Wet",7.75,7.75,7.58,7.5,7.75,7.58,10,10,10,7.67,83.58,0.1,"0",1,"Green","5"
"42","Uganda",NA,"Kyagalanyi Coffee's Namanve dry mill","Volcafe Limited, Japan",1700,"Rwenzori","Small Farmers in Rwenzori",290,"60 kg","Japan Coffee Exchange","2019","August 5th, 2020","Volcafe Japan","SL28","Washed / Wet",7.75,7.67,7.5,7.75,7.58,7.58,10,10,10,7.75,83.58,0.12,"0",1,"Green","4"
"43","El Salvador","Tuxpal","Tuxpal","Consejo Salvadoreño del Café",1200,"Apaneca - Ilamatepec","Tejemet, S.A. de C.V.",275,"69 kg","Salvadoran Coffee Council","2019","August 20th, 2020","Consejo Salvadoreño del Café","Bourbon","Washed / Wet",7.92,7.83,7.42,7.5,7.67,7.67,10,10,10,7.5,83.5,0.11,"0",0,"Green","1"
"44","Brazil","Sítio Forquilha do Rio","Cereja Descascado","Nestlé Brasil S/A",1300,"Caparaó","Afonso Lacerda",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.58,7.67,7.67,7.67,7.67,7.58,10,10,10,7.58,83.42,0.11,"0",0,"Bluish-Green","2"
"45","Costa Rica",NA,"DOSMIL","Beneficios Volcafé Costa Rica",1200,NA,NA,250,"69 kg","Specialty Coffee Association of Costa Rica","2019","September 6th, 2019","Maximiliano Gurdián Portocarrero","Caturra","Washed / Wet",7.58,7.5,7.42,7.42,7.83,7.33,10,10,10,8.33,83.42,0.12,"0",0,"Blue-Green","5"
"46","Guatemala","LA ESPERANZA",NA,"RETRILLAS DEL PACIFICO, S. A.",1600,"HUEHUETENANGO","FRANCISCO MORALES CARRILLO",275,"69 kg","Asociacion Nacional Del Café","2020","July 31st, 2020","Byron Gonzalez","Bourbon","Natural / Dry",7.58,7.83,7.5,7.75,7.5,7.58,10,10,10,7.67,83.42,0.1,"0",0,"Green","5"
"47","Brazil","Santa Rita de Cássia","alfenas","Olam Specialty Coffee",1150,"carmo de minas","Carlos Henrique Moreira",300,"18000 kg","Brazil Specialty Coffee Association","2019","February 10th, 2020","Pedro Santos e Silva","Catuai","Natural / Dry",7.67,7.67,7.67,7.67,7.58,7.58,10,10,10,7.58,83.42,0.12,"0",0,"Green","1"
"48","Honduras","Finca Los Angeles","proceso de despulpado y lavado y zarandas para secado","Coffee planet Corporation S.A",1450,"los Cedros, Francisco Morazan","Ramon de Jesus Oliva",20,"69 kg","Instituto Hondureño del Café","2020","May 21st, 2020","Janny Marlith Torres","Catuai","Washed / Wet",7.83,7.75,7.5,7.58,7.67,7.5,10,10,10,7.58,83.42,0.1,"0",0,"Green","5"
"49","China","Matsuzawa coffee","Matsuzawa coffee","JAPAN COFFEE EXCHANGE",1300,"<U+57FC><U+7389><U+770C>","Koju Matsuzawa",10,"60 kg","Japan Coffee Exchange","2019","November 15th, 2019","<U+677E><U+6FA4><U+5B8F><U+6A39> Koju Matsuzawa","Catimor","Natural / Dry",7.75,7.67,7.5,7.75,7.42,7.58,10,10,10,7.67,83.33,0.11,"0",2,"Green","5"
"50","Kenya","Various","CKCM","C Dormans limited",1750,"Central","Various",150,"9000 kg","Kenya Coffee Traders Association","2019","September 26th, 2019","SIMON MAHINDA","SL28","Washed / Wet",7.75,7.5,7.5,7.67,7.75,7.5,10,10,10,7.58,83.25,0.11,"0",0,"Green","2"
"51","Guatemala","LA BURBUJA",NA,"RETRILLAS DEL PACIFICO, S. A.",1500,"HUEHUETENANGO","MARISA JUDITH HERRERA VILLATORO",200,"69 kg","Asociacion Nacional Del Café","2020","July 20th, 2020","Byron Gonzalez","Bourbon","Natural / Dry",7.5,7.83,7.42,7.58,7.58,7.67,10,10,10,7.67,83.25,0.1,"0",2,"Green","8"
"52","Brazil","CAFEBRAS COMERCIO DE CAFES","DRY MILL","cafebras comércio de cafes do brasil",900,"CERRADO","CAFEBRAS COMÉRCIO DE CAFES",300,"60 kg","Brazil Specialty Coffee Association","2019","April 24th, 2020","João Batista Jarduli","Mundo Novo","Natural / Dry",7.42,7.67,7.58,7.67,7.75,7.58,10,10,10,7.58,83.25,0.12,"0",0,"Green","2"
"53","Guatemala","ALTA LUZ",NA,"RETRILLAS DEL PACIFICO, S. A.",1400,"HUEHUETENANGO","MARIA DE LOS ANGELES PEREZ",100,"69 kg","Asociacion Nacional Del Café","2020","July 20th, 2020","Byron Gonzalez","Bourbon","Natural / Dry",7.58,7.83,7.42,7.58,7.5,7.58,10,10,10,7.67,83.17,0.1,"0",1,"Green","5"
"54","Guatemala","LA BURBUJA",NA,"RETRILLAS DEL PACIFICO, S. A.",1800,"HUEHUETENANGO","MARISA JUDITH HERRERA VILLATORO",200,"69 kg","Asociacion Nacional Del Café","2020","August 7th, 2020","Byron Gonzalez","Bourbon","Natural / Dry",7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.83,83.17,0.11,"0",0,"Green","4"
"55","Thailand","Doi Tung Development Project","Dry Mill","Doi Tung Development Project",1420,"Thailand","Doi Tung Development Project",1,"2 kg","Specialty Coffee Association","2020 / 2021","August 20th, 2020","Doi Tung Development Project","Java","Pulped natural / honey",7.83,7.75,7.58,7.67,7.58,7.5,9.33,10,10,7.83,83.08,0.1,"0",0,"Green","2"
"56","Brazil","CAFEBRASCOMERCIO DE CAFÉ","DRY MILL","cafebras comércio de cafes do brasil",900,"CERRADO","CAFEBRAS COMERCIO DE CAFÉ",20,"60 kg","Brazil Specialty Coffee Association","2019","April 24th, 2020","João Batista Jarduli","Mundo Novo","Natural / Dry",7.5,7.58,7.58,7.83,7.5,7.5,10,10,10,7.58,83.08,0.12,"0",0,"Green","1"
"57","Brazil","Fazenda Santa Rita do Morro Grande","Natural","Nestlé Brasil S/A",910,"Mogiana","Lia Almeida Ribeiro de Andrade Lopes",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Natural / Dry",7.75,7.58,7.5,7.75,7.42,7.42,10,10,10,7.58,83,0.11,"5",0,"Bluish-Green","7"
"58","Guatemala","LAS ROSAS",NA,"RETRILLAS DEL PACIFICO, S. A.",1500,"HUEHUETENANGO","ROLANDO BELARMINO VILLATORO VILLATORO",275,"69 kg","Asociacion Nacional Del Café","2020","July 20th, 2020","Byron Gonzalez","Bourbon","Natural / Dry",7.58,7.75,7.25,7.58,7.5,7.58,10,10,10,7.67,82.92,0.1,"0",1,"Green","7"
"59","Guatemala","SAN JOSE DEL LAGO","SAN JOSE DEL LAGO","PETER SCHOENFELD,S.A.",1547,"ATITLAN","CAFETALERA PAQUIM,S.A.",60,"29 kg","Asociacion Nacional Del Café","2020","April 20th, 2020","Byron Gonzalez","Bourbon","Washed / Wet",7.5,7.75,7.42,7.5,7.5,7.5,10,10,10,7.58,82.75,0.1,"0",1,"Green","6"
"60","Costa Rica","Palmichal","Beneficio Palmichal","CECA,S.A.",1250,"Tarrazu","Beneficio Palmichal",275,"69 kg","Specialty Coffee Association of Costa Rica","2020","February 12th, 2020","CECA, S.A.","Caturra","Washed / Wet",7.5,7.33,7.33,7.33,7.5,7.5,10,10,10,8.17,82.67,0.11,"0",3,"Green","3"
"61","Guatemala","LINDA VISTA","LINDA VISTA","MERCON GUATEMALA, S. A.",1800,"SANTA ROSA","PABLO ARTURO CHUY FLORES",275,"69 kg","Asociacion Nacional Del Café","2020","May 20th, 2020","Byron Gonzalez","Catuai","Washed / Wet",7.5,7.67,7.5,7.5,7.5,7.5,10,10,10,7.5,82.67,0.1,"0",1,"Green","5"
"62","Indonesia","Pondokbaru, Benermeriah","Pondokbaru, Benermeriah","PT Rajawali Artha Agro Sejahtera (PTRAAS)",1200,"Sumatra","PT. Rajawali Artha Agro Sejahtera",320,"60 kg","Specialty Coffee Association of Indonesia","2020","June 22nd, 2020","PTRAAS","Mandheling","Washed / Wet",7.5,7.75,7.17,7.75,7.42,7.42,10,10,10,7.58,82.58,0.12,"0",4,"Green","7"
"63","Brazil","Vista Alegre Estate Coffee","Dry Mil","agrogenius",950,"Sul de Minas","Paulo Cersar Ribeiro de Freitas",320,"60 kg","Brazil Specialty Coffee Association","2019","March 13th, 2020","Erick","Catuai","Natural / Dry",7.5,7.83,7.5,7.42,7.42,7.5,10,10,10,7.42,82.58,0.11,"0",0,"Bluish-Green","5"
"64","Myanmar","Mandalay Coffee Group","Mandalay Coffee Group","Mandalay Coffee Group",1100,"Ywangan, Shan State, Myanmar","Ywangan small farmers",300,"40 kg","Blossom Valley International<U+5BB8><U+5DA7><U+570B><U+969B>","2020","May 14th, 2020","Mandalay Coffee Group","Catuai","Washed / Wet",7.58,7.58,7.25,7.58,7.42,7.58,10,10,10,7.5,82.5,0.1,"0",0,"Bluish-Green","0"
"65","Guatemala","FINCA MEDINA","FINCA MEDINA","SIEMBRAS VISIÓN, S. A.",1650,"ANTIGUA","SIEMBRAS VISIÓN, S. A.",250,"69 kg","Asociacion Nacional Del Café","2020","May 21st, 2020","Byron Gonzalez","Caturra","Washed / Wet",7.5,7.5,7.33,7.5,7.58,7.5,10,10,10,7.42,82.33,0.1,"0",1,"Green","5"
"66","Yemen","Haraz - Wadi AlSail","Dry Mill","Crafted Caffeine",2250,"Yemen","Alhamasi Coffe",78,"32 kg","Specialty Coffee Association","2018","August 29th, 2019","Ibrahim Alhamdani","Mocha","Natural / Dry",7.92,7.67,7.67,7.58,7.58,7.5,10,8.67,10,7.75,82.33,0.1,"0",0,"Green","4"
"67","Brazil","Fazenda Harmonia","Cereja Descascado","Nestlé Brasil S/A",550,"Norte Pioneiro do Paraná","Renee Van Der Goot/Rubens Los Júnior",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.58,7.58,7.33,7.58,7.33,7.33,10,10,10,7.5,82.25,0.11,"0",0,"Bluish-Green","9"
"68","Vietnam","Apollo Estate","Dry Mill","Sunvirtue Co., Ltd.",1040,"Dalat","Yeh, Li Chuan",1,"2 kg","Specialty Coffee Association","2019","March 10th, 2020","Sunvirtue Co., Ltd.","Catimor","Washed / Wet",7.42,7.33,7.33,7.42,7.58,7.67,10,10,10,7.5,82.25,0.12,"0",1,"Green","1"
"69","Colombia","Bella Vista","La Sabana","carcafe ltda",1779,"Cundinamarca","Orlando Moreno",275,"70 kg","Specialty Coffee Association","2020","March 17th, 2020","rodrigo amaya","Caturra","Washed / Wet",7.33,7.5,7.5,7.58,7.42,7.5,10,10,10,7.42,82.25,0.11,"0",11,"Bluish-Green","0"
"70","Mexico","Finca Custepec","Finca Custepec","Exportadora Café California",1300,"Chiapas","Armando Pohlenz",250,"17250 kg","Centro Agroecológico del Café A.C.","2019","April 1st, 2020","ANDREAS KUSSMAUL","Sarchimor","Washed / Wet",7.33,7.58,7.25,7.58,7.5,7.5,10,10,10,7.5,82.25,0.12,"2",1,"Green","8"
"71","Guatemala","FINCA AURORA","FINCA AURORA","CEPA CENTROAMERICA, S. A.",1450,"COBÁN ALTA VERAPAZ","POLA, S. A.",25,"69 kg","Asociacion Nacional Del Café","2020","May 26th, 2020","Byron Gonzalez","Caturra","Washed / Wet",7.42,7.5,7.25,7.5,7.5,7.5,10,10,10,7.5,82.17,0.1,"0",1,"Green","2"
"72","Guatemala","Linda Vista","Linda Vista","Mercon Guatemala, S.A.",1300,"santa rosa","PABLO ARTURO CHUY FLORES",275,"69 kg","Asociacion Nacional Del Café","2018","August 28th, 2019","Byron Gonzalez","Catuai","Washed / Wet",7.5,7.58,7.25,7.33,7.33,7.5,10,10,10,7.5,82,0.11,"0",1,"Green","4"
"73","Guatemala","Ayalza","Export Cafe","Tokyo Allied Coffee Roasters Co.,Ltd.",1700,"Ayalza","Export Cafe",275,"69 kg","Japan Coffee Exchange","2018","October 17th, 2019","Takanori Suzuki","Caturra","Washed / Wet",7.33,7.42,7.42,7.33,7.5,7.5,10,10,10,7.42,81.92,0,"0",0,"Blue-Green","5"
